City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Cabo San Lucas,22.8909,-109.9124,85.6,44,0,3.44,MX,2022-04-26 16:35:10
118,Half Moon Bay,37.4636,-122.4286,61.14,74,75,26.46,US,2022-04-26 16:39:01
119,Naze,28.3667,129.4833,72.52,89,98,15.21,JP,2022-04-26 16:39:46
120,Faanui,-16.4833,-151.75,81.82,75,14,21.03,PF,2022-04-26 16:39:47
121,Nome,64.5011,-165.4064,29.16,100,0,4.61,US,2022-04-26 16:39:47
122,Staryy Nadym,65.6118,72.6842,29.61,92,100,15.21,RU,2022-04-26 16:39:47
123,Benguela,-12.5763,13.4055,76.93,82,45,5.35,AO,2022-04-26 16:39:48
124,Altay,47.8667,88.1167,37.45,80,73,4.7,CN,2022-04-26 16:39:48
125,Bethel,41.3712,-73.414,54.9,90,100,4.61,US,2022-04-26 16:37:12
126,Same,-4.0667,37.7333,70.27,85,100,4.25,TZ,2022-04-26 16:39:48
127,Wexford,52.3342,-6.4575,56.21,71,49,7.58,IE,2022-04-26 16:39:49
128,Alofi,-19.0595,-169.9187,69.69,94,100,3.44,NU,2022-04-26 16:39:49
129,Port Hardy,50.6996,-127.4199,42.8,93,75,5.75,CA,2022-04-26 16:38:59
130,Yellowknife,62.456,-114.3525,37.92,65,75,12.66,CA,2022-04-26 16:35:01
131,Hirosaki,40.5931,140.4725,58.68,95,100,7.87,JP,2022-04-26 16:39:49
132,Ishigaki,24.3448,124.1572,78.93,100,20,8.05,JP,2022-04-26 16:39:50
133,Makakilo City,21.3469,-158.0858,70.68,86,100,4.61,US,2022-04-26 16:39:50
134,Saint George,37.1041,-113.5841,70.43,20,0,3.44,US,2022-04-26 16:38:46
135,Ancud,-41.8697,-73.8203,46.22,64,73,14.34,CL,2022-04-26 16:39:50
136,Sainte-Anne-Des-Monts,49.124,-66.4924,39.07,93,100,0.0,CA,2022-04-26 16:39:51
137,Manturovo,58.3353,44.7619,48.79,80,100,4.14,RU,2022-04-26 16:39:51
138,Losinyy,57.1386,61.0666,58.75,78,96,9.42,RU,2022-04-26 16:39:51
139,Barranca,-10.75,-77.7667,71.46,74,28,9.86,PE,2022-04-26 16:39:52
140,Olinda,-8.0089,-34.8553,85.73,62,40,14.97,BR,2022-04-26 16:40:52
141,Sortland,68.6949,15.4162,28.36,54,100,12.71,NO,2022-04-26 16:40:52
142,Carnarvon,-24.8667,113.6333,71.67,73,75,23.02,AU,2022-04-26 16:40:52
143,Nantucket,41.2835,-70.0995,51.94,84,100,14.16,US,2022-04-26 16:40:33
144,Qujing,25.4833,103.7833,61.09,47,0,4.29,CN,2022-04-26 16:39:10
145,Hilo,19.7297,-155.09,73.27,93,100,6.91,US,2022-04-26 16:35:56
146,Virginia Beach,36.8529,-75.978,86.05,53,0,6.13,US,2022-04-26 16:36:26
