City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
285,Hongjiang,CN,70.32,74,27.11,109.9956,洪江大酒店
288,San Policarpo,PH,80.98,100,12.1791,125.5072,Agapita M. Nicart
289,Maues,BR,85.66,87,-3.3836,-57.7186,Hotel Miramar
290,Dawson,US,83.62,2,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
291,Chuzhou,CN,65.95,100,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
293,Mayo,US,71.26,100,38.8876,-76.5119,Resorts Resource Group International
296,Doha,QA,82.71,0,25.2867,51.5333,Movenpick Hotel Doha
297,Miri,MY,80.74,40,4.4148,114.0089,"Mega Hotel, Miri"
302,Zachary,US,74.68,100,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
304,Cidreira,BR,72.34,100,-30.1811,-50.2056,Hotel Castelo
305,Cayenne,GF,87.84,75,4.9333,-52.3333,Hôtel Le Dronmi
307,Coromandel,BR,84.0,2,-18.4733,-47.2003,Hotel Dona Adélia
311,Bose,IT,65.79,84,45.4612,8.0137,Locanda Borgo Antico
312,Kahului,US,71.62,75,20.8947,-156.47,Maui Seaside Hotel
314,Mount Pleasant,US,85.17,40,32.7941,-79.8626,Best Western Patriots Point
315,Valle Del Guamuez,CO,83.62,65,0.4525,-76.9192,Hotel Casa Blanca Orito
317,Misratah,LY,66.74,56,32.3754,15.0925,Almasa Hotel
320,Sarangani,PH,82.0,100,5.4033,125.4636,Ballistic Islet
321,Kulob,TJ,72.36,96,37.9145,69.783,Hotel Shelkovyi put
322,Acarau,BR,82.17,70,-2.8856,-40.12,castelo pizzaria
325,Touros,BR,84.69,29,-5.1989,-35.4608,INN NEW HORIZON
329,Piacabucu,BR,83.95,19,-10.4056,-36.4344,Piaçabuçu News
330,Arlit,NE,98.64,1,18.7369,7.3853,Case de Passage De la Prefecture
331,Oktyabrskoye,RU,66.34,46,43.0645,44.7417,Prolesok Mini-hotel
332,Ternate,ID,80.94,100,0.8,127.4,Sahid Bela Ternate Hotel
333,Jardim,BR,97.09,42,-21.4803,-56.1381,Estancia Hotel - Jardim MS
335,Sibolga,ID,77.38,100,1.7427,98.7792,Hotel Syariah CN Darussalam
336,Aurad,IN,94.05,56,18.25,77.4333,Bishmilla Birayani Hotel Aurad C
341,Denpasar,ID,80.26,20,-8.65,115.2167,OYO 3156 Hotel Warta 2
342,Malumfashi,NG,95.94,52,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
343,Meulaboh,ID,76.51,99,4.1363,96.1285,Kost Pria
344,Necochea,AR,72.66,47,-38.5473,-58.7368,dyd -mar Hotel
347,Catuday,PH,82.31,39,16.2923,119.8062,Benjie's Kubo & Cottages
348,Banting,MY,82.54,83,2.8167,101.5,Hotel Intan Jugra
351,Salima,MW,74.37,95,-13.7804,34.4587,YAMIKANI LODGE
352,Puerto Colombia,CO,87.89,93,10.9878,-74.9547,Hotel El Emigrante
353,Ambon,ID,81.73,81,-3.6954,128.1814,Swiss-Belhotel Ambon
357,Salalah,OM,84.29,20,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
360,Salvador,SV,84.6,15,13.8333,-88.9167,Chico's Ranch
363,Altamira,BR,78.89,75,-3.2033,-52.2064,Requinte Hotel
366,San Quintin,MX,69.39,58,30.4833,-115.95,Don Eddie's Sport Fishing Center
369,Erzin,TR,66.18,0,36.9559,36.2,Artemis Otel
370,Kailua,US,72.14,78,21.4022,-157.7394,Sheffield House Bed & Breakfast
372,Waddan,LY,89.22,97,29.1614,16.139,محل الشريف محمد العايب
373,Rafaela,AR,84.0,19,-31.2503,-61.4867,Parra Hotel & Suites
374,Blythe,US,84.04,0,33.6103,-114.5964,Rodeway Inn & Suites
375,Jequitinhonha,BR,83.93,87,-16.4339,-41.0033,Hotel Bela Vista
376,Salcia,RO,65.23,95,44.1408,22.9278,Роден
377,Dawei,MM,80.06,60,14.0833,98.2,Hotel Dawei
378,Kontagora,NG,98.71,19,10.3999,5.4695,Queens Guest Inn
380,Zlitan,LY,66.33,71,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
382,Cassilandia,BR,91.04,4,-19.1133,-51.7342,Delirius Motel
384,Sambava,MG,75.81,54,-14.2667,50.1667,Melrose
386,Aktau,KZ,70.38,5,43.65,51.2,Silk Way Hotel
390,Brasileia,BR,88.25,40,-11.0161,-68.7481,Pousada Tobias
391,Kudahuvadhoo,MV,84.79,6,2.6708,72.8944,Niyama Private Islands Maldives
392,Acapulco,MX,84.02,20,16.8634,-99.8901,HS Hotsson Smart Acapulco
393,Rocha,UY,75.87,94,-34.4833,-54.3333,Hotel Arrarte
394,Russell,US,81.68,20,32.3502,-85.1999,Macs
395,Limoeiro Do Ajuru,BR,81.59,90,-1.8953,-49.3806,Hotel Dalva
396,Katsuura,JP,71.38,100,35.1333,140.3,Katsuura Hotel Mikazuki
